level_0,Serial Number,Deposits 2016
553.0,2508,26037
551.0,3033,26037
552.0,2347,26037
555.0,1863,26050
556.0,3086,26050
557.0,3418,26059
558.0,3262,26059
559.0,3683,26065
560.0,3553,26097
561.0,3394,26226
562.0,3201,26228
563.0,2709,26248
564.0,3607,26258
565.0,3625,26258
566.0,3424,26277
567.0,3223,26277
568.0,2022,26291
569.0,2877,26291
570.0,258,26320
571.0,3686,26327
572.0,3665,26327
573.0,3727,26327
574.0,2763,26358
575.0,3716,26394
576.0,3639,26394
577.0,175,26517
578.0,3154,26524
579.0,2796,26556
580.0,3296,26569
581.0,3451,26569
582.0,2362,26639
583.0,3515,26659
584.0,2939,26660
585.0,3166,26660
586.0,2015,26704
587.0,3276,26763
588.0,130,26829
589.0,3407,27034
590.0,2598,27068
591.0,2025,27143
592.0,3445,27144
593.0,3275,27144
594.0,3270,27144
595.0,3370,27179
596.0,2615,27184
597.0,2794,27215
598.0,225,27215
599.0,2121,27215
600.0,3751,27332
601.0,118,27339
602.0,2814,27373
606.0,155,27404
605.0,2276,27404
607.0,2113,27404
603.0,2378,27404
604.0,2318,27404
608.0,1132,27405
609.0,323,27405
610.0,151,27405
611.0,300,27405
612.0,1994,27405
613.0,699,27444
614.0,3274,27482
615.0,3320,27501
616.0,3701,27507
617.0,3185,27518
618.0,2781,27518
619.0,2943,27518
620.0,439,27577
621.0,697,27610
622.0,3247,27633
623.0,2891,27668
629.0,2761,27696
627.0,2871,27696
628.0,2667,27696
625.0,2750,27696
624.0,2574,27696
626.0,2566,27696
630.0,31,27762
631.0,2607,27762
632.0,3504,27802
633.0,3466,27802
634.0,65,27807
635.0,2308,27814
636.0,3729,27814
637.0,2853,27814
639.0,2438,27816
638.0,2424,27816
640.0,3461,27845
641.0,3492,27845
642.0,2238,27855
643.0,2743,27865
644.0,3426,27894
645.0,2691,27916
649.0,3009,27959
648.0,386,27959
646.0,2819,27959
647.0,2517,27959
650.0,3551,28057
651.0,3319,28134
652.0,696,28232
653.0,2611,28248
654.0,2021,28248
655.0,2728,28279
656.0,703,28310
657.0,2749,28322
658.0,2995,28322
659.0,17,28334
660.0,2326,28334
662.0,3719,28342
661.0,3685,28342
663.0,135,28378
664.0,299,28409
665.0,1062,28419
666.0,3597,28451
667.0,271,28500
668.0,2228,28521
669.0,2421,28563
670.0,367,28563
672.0,2895,28704
673.0,2283,28704
671.0,2418,28704
674.0,3186,28756
675.0,3071,28756
676.0,2987,28756
677.0,3059,28756
678.0,3108,28756
680.0,2232,28781
679.0,2148,28781
682.0,2453,28797
681.0,1021,28797
683.0,2555,28799
684.0,2802,28862
685.0,1186,28862
686.0,1176,28904
687.0,3680,28929
688.0,3659,28954
689.0,3688,28954
690.0,3664,28954
691.0,2149,28974
692.0,2194,28974
693.0,2811,28985
694.0,2005,29209
695.0,3422,29262
696.0,2023,29326
697.0,525,29326
700.0,3171,29380
699.0,2604,29380
698.0,2757,29380
703.0,2376,29410
701.0,2018,29410
702.0,2682,29410
704.0,2086,29476
705.0,303,29503
706.0,2649,29583
707.0,597,29583
708.0,3564,29634
709.0,1073,29687
710.0,2375,29717
711.0,2917,29788
712.0,2284,29868
713.0,2240,29958
714.0,2861,30321
715.0,3298,30329
716.0,2600,30329
717.0,3139,30329
718.0,3739,30443
719.0,3725,30447
721.0,1153,30489
720.0,2810,30489
722.0,3723,30500
723.0,3662,30500
724.0,2680,30501
725.0,572,30501
726.0,3601,30520
727.0,3543,30520
728.0,3599,30520
729.0,2947,30562
730.0,3522,30896
731.0,52,30930
732.0,125,30930
733.0,954,30930
734.0,2783,30939
735.0,2950,30939
736.0,526,30949
738.0,3531,30967
737.0,3519,30967
739.0,3503,31009
740.0,3260,31124
741.0,3448,31124
742.0,3236,31155
743.0,3392,31155
744.0,3130,31348
745.0,3215,31412
748.0,121,31534
747.0,2152,31534
746.0,798,31534
749.0,700,31619
750.0,2711,31619
751.0,2716,31619
752.0,965,31656
753.0,295,31695
754.0,902,31695
756.0,3502,31734
755.0,3672,31734
757.0,3641,31754
758.0,3697,31790
759.0,3703,31790
760.0,429,31855
761.0,3135,31935
762.0,1566,31990
763.0,2012,32002
764.0,3434,32032
765.0,3335,32032
766.0,2587,32038
767.0,2838,32038
768.0,2700,32038
769.0,3281,32047
770.0,3175,32047
771.0,3397,32047
773.0,2147,32061
772.0,2224,32061
774.0,1173,32063
775.0,671,32128
776.0,2779,32129
777.0,2692,32129
778.0,2685,32129
779.0,2696,32129
780.0,2456,32129
781.0,2606,32129
782.0,3202,32134
783.0,2226,32157
784.0,887,32157
785.0,707,32157
792.0,2058,32172
790.0,2450,32172
789.0,2717,32172
791.0,2636,32172
787.0,2441,32172
788.0,2432,32172
786.0,2623,32172
793.0,2910,32220
794.0,2719,32221
795.0,1185,32233
796.0,3411,32244
797.0,3228,32244
798.0,3441,32244
799.0,2339,32312
800.0,298,32414
801.0,154,32414
802.0,2597,32579
803.0,2327,32579
804.0,1154,32598
805.0,3136,32617
806.0,422,32693
807.0,3342,32698
808.0,2720,32805
809.0,0,32832
810.0,3728,32837
811.0,3530,32886
812.0,2278,32892
813.0,2760,32917
814.0,3172,32953
815.0,3023,32953
816.0,2958,32953
817.0,3618,33002
818.0,3517,33008
819.0,2769,33071
820.0,617,33071
821.0,3610,33084
822.0,3598,33084
823.0,292,33085
829.0,3168,33123
828.0,2978,33123
827.0,3165,33123
825.0,3123,33123
824.0,3209,33123
826.0,3078,33123
830.0,3405,33184
831.0,3304,33184
832.0,3332,33184
833.0,3525,33223
834.0,3364,33223
835.0,1146,33243
836.0,2399,33243
837.0,2439,33243
838.0,2953,33243
839.0,2016,33243
840.0,586,33302
841.0,3678,33338
842.0,2269,33401
843.0,2561,33458
844.0,2619,33458
845.0,2860,33488
846.0,913,33506
847.0,726,33506
848.0,2585,33506
849.0,3117,33526
850.0,3170,33526
851.0,1006,33530
852.0,2675,33619
853.0,2647,33619
854.0,2457,33619
855.0,411,33619
856.0,2229,33642
857.0,3603,33831
858.0,3555,33831
859.0,3612,33831
860.0,3614,33831
861.0,3138,33863
862.0,2297,33871
863.0,341,33954
864.0,816,33960
865.0,398,33966
866.0,2747,33966
867.0,3617,33997
868.0,3620,33997
869.0,2916,34051
870.0,3566,34059
871.0,3585,34061
872.0,2221,34084
873.0,290,34106
874.0,3666,34123
875.0,3404,34124
876.0,3174,34124
877.0,3391,34124
878.0,3592,34124
879.0,189,34141
881.0,168,34143
880.0,1854,34143
882.0,344,34160
883.0,564,34160
884.0,2401,34214
885.0,2880,34214
886.0,977,34369
887.0,1164,34369
888.0,2706,34399
889.0,963,34408
890.0,3047,34421
891.0,286,34435
892.0,2074,34435
893.0,2020,34453
894.0,2346,34494
895.0,20,34508
896.0,2236,34508
899.0,3477,34539
898.0,3590,34539
897.0,3538,34539
900.0,29,34554
901.0,3484,34653
902.0,2758,34661
903.0,2744,34661
904.0,2826,34661
905.0,3646,34673
907.0,177,34778
906.0,331,34778
908.0,3057,34781
909.0,661,34806
910.0,2812,34806
911.0,2372,34806
914.0,1046,34832
912.0,1123,34832
913.0,3092,34832
915.0,678,34832
920.0,3539,34872
919.0,3586,34872
918.0,3511,34872
917.0,3528,34872
916.0,3557,34872
921.0,3087,34889
922.0,1121,34916
923.0,3195,34916
924.0,3098,34916
925.0,3063,34916
926.0,3097,34916
927.0,3705,34977
928.0,3032,34984
929.0,3015,34984
930.0,2862,35017
931.0,2974,35021
932.0,2841,35021
933.0,1147,35021
935.0,2657,35048
934.0,778,35048
936.0,2772,35085
937.0,2770,35085
938.0,3160,35141
939.0,3161,35141
940.0,1734,35228
943.0,2576,35298
941.0,2360,35298
942.0,1948,35298
944.0,3516,35490
945.0,3596,35490
946.0,1977,35514
947.0,3030,35654
948.0,3126,35654
949.0,3028,35654
950.0,2983,35716
954.0,3345,35740
953.0,3377,35740
952.0,3306,35740
951.0,3248,35740
955.0,626,35747
956.0,2736,35800
957.0,2337,35804
958.0,2281,35804
959.0,3679,35912
960.0,976,35967
966.0,3267,35968
965.0,3455,35968
964.0,3289,35968
961.0,3245,35968
962.0,3431,35968
963.0,3312,35968
967.0,2704,35998
968.0,1101,36086
969.0,3735,36103
970.0,2535,36118
971.0,1162,36161
972.0,2386,36161
973.0,3506,36203
974.0,460,36209
975.0,315,36209
976.0,1178,36324
977.0,1090,36324
978.0,1052,36324
979.0,2610,36324
980.0,1059,36324
981.0,519,36324
982.0,814,36341
983.0,2412,36341
984.0,1175,36341
985.0,2153,36341
987.0,2379,36353
986.0,18,36353
988.0,3340,36378
989.0,3208,36397
990.0,2295,36490
991.0,2723,36535
992.0,2266,36535
993.0,2369,36535
994.0,2328,36535
995.0,615,36535
996.0,2158,36535
997.0,1984,36535
998.0,2159,36551
999.0,322,36587
1000.0,1313,36615
1001.0,3197,36631
1002.0,2698,36641
1003.0,327,36700
1004.0,959,36729
1005.0,32,36729
1006.0,3163,36734
1011.0,446,36876
1010.0,1179,36876
1007.0,751,36876
1008.0,629,36876
1009.0,1042,36876
1012.0,3497,36952
1013.0,3026,37028
1014.0,3164,37028
1015.0,3019,37028
1016.0,3152,37028
1017.0,452,37161
1018.0,722,37161
1019.0,2507,37217
1020.0,3031,37235
1021.0,48,37249
1022.0,2280,37287
1023.0,650,37307
1024.0,208,37355
1026.0,305,37454
1025.0,497,37454
1027.0,2529,37475
1028.0,3658,37485
1029.0,3536,37527
1030.0,3471,37527
1031.0,939,37594
1032.0,547,37594
1033.0,587,37594
1034.0,2630,37594
1035.0,186,37609
1036.0,1184,37660
1037.0,958,37660
1038.0,2756,37660
1039.0,2082,37706
1040.0,2913,37842
1041.0,986,37842
1043.0,3301,37874
1042.0,3288,37874
1044.0,1158,37944
1045.0,985,37944
1046.0,3644,37994
1047.0,3609,38016
1048.0,2143,38068
1049.0,2305,38068
1050.0,2593,38068
1051.0,1832,38159
1052.0,780,38159
1053.0,989,38159
1054.0,711,38163
1055.0,396,38210
1056.0,443,38221
1057.0,2708,38221
1058.0,2666,38221
1059.0,451,38282
1060.0,2906,38315
1062.0,3523,38373
1061.0,3582,38373
1063.0,510,38389
1064.0,2131,38390
1065.0,3505,38465
1066.0,2500,38514
1067.0,2776,38599
1068.0,2047,38618
1069.0,635,38618
1070.0,3677,38624
1071.0,456,38631
1072.0,2431,38631
1073.0,2941,38631
1074.0,1035,38639
1075.0,487,38671
1076.0,1965,38671
1077.0,1680,38680
1078.0,558,38800
1079.0,2288,38856
1080.0,3255,38881
1081.0,3272,38881
1082.0,2656,38918
1083.0,3447,38918
1084.0,2383,39016
1085.0,1039,39016
1087.0,2294,39037
1086.0,2934,39037
1088.0,3712,39077
1089.0,1057,39190
1090.0,2990,39207
1091.0,2582,39395
1092.0,2641,39395
1093.0,2323,39417
1098.0,240,39480
1096.0,190,39480
1097.0,1486,39480
1095.0,394,39480
1094.0,217,39480
1099.0,577,39595
1100.0,3038,39647
1101.0,3025,39647
1102.0,1033,39658
1103.0,1044,39658
1106.0,2230,39762
1105.0,2355,39762
1104.0,2298,39762
1107.0,2560,39766
1108.0,879,39766
1109.0,1119,39882
1110.0,3230,39887
1111.0,3400,39887
1112.0,3414,39887
1114.0,3521,39946
1113.0,3273,39946
1115.0,1388,39958
1116.0,3549,39983
1117.0,2498,40016
1118.0,2792,40069
1119.0,2883,40069
1120.0,1943,40080
1121.0,312,40088
1122.0,2324,40240
1123.0,3408,40294
1124.0,3389,40294
1125.0,359,40318
1126.0,2287,40318
1127.0,991,40318
1128.0,2663,40364
1129.0,43,40382
1131.0,1243,40418
1130.0,2219,40418
1132.0,53,40418
1134.0,3493,40476
1133.0,3346,40476
1135.0,760,40497
1136.0,296,40546
1137.0,2078,40546
1138.0,2490,40546
1139.0,556,40546
1140.0,328,40546
1141.0,2150,40605
1142.0,3535,40611
1143.0,1872,40701
1144.0,2547,40716
1145.0,159,40752
1146.0,2231,40752
1147.0,559,40803
1148.0,3623,40837
1149.0,2497,40867
1150.0,3233,40905
1151.0,2451,40917
1152.0,2863,40953
1153.0,1104,40953
1154.0,412,40953
1155.0,67,41036
1156.0,2180,41067
1157.0,82,41109
1158.0,2697,41198
1159.0,1050,41198
1160.0,2265,41235
1161.0,2408,41256
1162.0,2724,41264
1163.0,3450,41337
1164.0,3544,41337
1165.0,3007,41421
1166.0,2557,41421
1167.0,3044,41423
1169.0,2681,41468
1168.0,2141,41468
1170.0,2523,41535
1171.0,2239,41535
1172.0,2311,41543
1173.0,2335,41563
1174.0,113,41563
1175.0,934,41563
1176.0,389,41565
1177.0,2242,41624
1178.0,2933,41624
1179.0,507,41680
1180.0,3343,41702
1181.0,3454,41702
1182.0,2213,41716
1183.0,2725,41716
1184.0,2267,41716
1185.0,3330,41748
1186.0,2568,41753
1187.0,268,41753
1188.0,2739,41759
1189.0,2650,41759
1190.0,1168,41759
1191.0,1082,41759
1192.0,2010,41759
1193.0,2069,41759
1194.0,119,41831
1195.0,2227,41842
1196.0,3285,41906
1197.0,603,42070
1198.0,716,42070
1199.0,2374,42070
1201.0,2673,42088
1202.0,2463,42088
1200.0,2694,42088
1204.0,3070,42102
1205.0,3155,42102
1203.0,3162,42102
1209.0,2834,42126
1208.0,2734,42126
1207.0,2882,42126
1206.0,612,42126
1210.0,3034,42334
1211.0,1981,42370
1212.0,3144,42370
1213.0,3072,42370
1214.0,3096,42370
1215.0,2778,42370
1218.0,640,42400
1216.0,593,42400
1217.0,1098,42400
1219.0,2979,42421
1220.0,3490,42442
1221.0,3509,42442
1222.0,242,42625
1223.0,995,42625
1224.0,758,42689
1225.0,3001,42692
1226.0,2436,42776
1227.0,115,42800
1228.0,128,42914
1229.0,855,42914
1230.0,2605,42914
1231.0,1114,42914
1232.0,438,42923
1233.0,802,42982
1234.0,1071,42982
1235.0,3541,42997
1236.0,3574,42997
1237.0,3558,42997
1238.0,3526,42997
1239.0,2745,43016
1240.0,721,43016
1241.0,3278,43044
1247.0,3046,43078
1244.0,2831,43078
1248.0,2798,43078
1246.0,3045,43078
1242.0,2677,43078
1243.0,2800,43078
1245.0,3074,43078
1249.0,3427,43096
1250.0,3413,43096
1251.0,3661,43241
1252.0,627,43269
1253.0,2144,43269
1254.0,561,43386
1255.0,2014,43486
1256.0,2245,43527
1257.0,2040,43527
1258.0,1140,43632
1259.0,2937,43632
1260.0,2731,43632
1262.0,3153,43643
1261.0,3122,43643
1263.0,1558,43664
1264.0,3093,43675
1265.0,2225,43677
1266.0,56,43699
1267.0,469,43699
1268.0,2481,43699
1269.0,1559,43715
1270.0,146,43715
1271.0,281,43715
1272.0,3437,43716
1273.0,1986,43735
1274.0,2203,43769
1275.0,2791,43802
1278.0,184,43873
1279.0,354,43873
1276.0,1967,43873
1277.0,1187,43873
1284.0,642,43879
1283.0,317,43879
1280.0,2740,43879
1281.0,2707,43879
1282.0,2009,43879
1285.0,2217,43911
1286.0,2780,43917
1287.0,2496,43917
1288.0,3177,43917
1289.0,3435,43926
1290.0,301,43958
1291.0,921,43958
1302.0,3430,43981
1301.0,3167,43981
1300.0,3106,43981
1299.0,3222,43981
1297.0,3217,43981
1298.0,3284,43981
1295.0,3387,43981
1294.0,3305,43981
1293.0,3401,43981
1292.0,3250,43981
1296.0,3323,43981
1303.0,2184,44000
1304.0,3415,44049
1306.0,361,44172
1305.0,127,44172
1307.0,793,44172
1308.0,873,44185
1309.0,2898,44185
1310.0,2322,44185
1311.0,173,44185
1312.0,1970,44277
1313.0,3563,44278
1315.0,2577,44308
1316.0,794,44308
1314.0,2997,44308
1317.0,3438,44335
1318.0,3362,44335
1319.0,1853,44352
1320.0,822,44352
1321.0,280,44352
1322.0,1096,44408
1323.0,1441,44418
1324.0,2954,44419
1325.0,2304,44425
1326.0,987,44425
1327.0,2596,44443
1328.0,2710,44458
1329.0,1126,44458
1330.0,2920,44458
1331.0,2627,44467
1335.0,2361,44564
1333.0,357,44564
1332.0,1821,44564
1334.0,282,44564
1336.0,2313,44725
1337.0,2306,44725
1338.0,604,44752
1339.0,1963,44779
1340.0,74,44795
1341.0,1856,44795
1342.0,80,44795
1343.0,1470,44795
1344.0,2890,44795
1345.0,1253,44795
1347.0,3277,44796
1346.0,3449,44796
1348.0,1254,44851
1349.0,2976,44871
1350.0,641,44873
1351.0,611,44904
1352.0,3282,44950
1353.0,2055,44958
1354.0,718,44971
1355.0,453,44971
1356.0,2142,45043
1357.0,3264,45049
1358.0,3257,45049
1359.0,3388,45049
1360.0,3220,45049
1361.0,3440,45049
1362.0,3587,45073
1363.0,2103,45105
1364.0,2589,45111
1365.0,1469,45161
1366.0,1999,45203
1367.0,725,45203
1368.0,2095,45228
1370.0,553,45293
1369.0,2008,45293
1371.0,3321,45369
1372.0,3369,45369
1373.0,2485,45409
1374.0,1458,45444
1375.0,2272,45449
1378.0,2793,45502
1376.0,2051,45502
1377.0,2471,45502
1379.0,311,45543
1380.0,520,45564
1381.0,3184,45579
1382.0,3183,45579
1383.0,1622,45674
1385.0,2417,45715
1384.0,2026,45715
1386.0,33,45715
1388.0,3518,45792
1387.0,3594,45792
1389.0,3348,45889
1390.0,1987,45928
1391.0,1384,45952
1392.0,3593,45955
1393.0,791,46028
1394.0,687,46028
1395.0,1995,46028
1396.0,2789,46045
1397.0,872,46079
1398.0,297,46079
1399.0,392,46079
1400.0,153,46080
1401.0,287,46080
1402.0,3121,46131
1403.0,2715,46139
1406.0,2133,46239
1405.0,449,46239
1404.0,2244,46239
1407.0,1985,46252
1408.0,362,46252
1409.0,1250,46252
1410.0,2591,46392
1411.0,2172,46392
1412.0,1474,46457
1413.0,2668,46457
1414.0,2581,46482
1415.0,2525,46482
1416.0,2628,46506
1417.0,2189,46506
1418.0,1113,46516
1419.0,619,46516
1420.0,1133,46516
1422.0,2592,46517
1421.0,2689,46517
1423.0,2345,46517
1424.0,1088,46673
1425.0,1480,46801
1426.0,1747,46801
1427.0,3188,46889
1428.0,3107,46889
1429.0,945,46978
1430.0,517,46996
1431.0,2799,47000
1432.0,2855,47016
1433.0,1002,47016
1434.0,1048,47016
1435.0,2171,47017
1436.0,3507,47302
1437.0,727,47323
1438.0,2447,47323
1441.0,2442,47373
1442.0,2869,47373
1439.0,2992,47373
1440.0,2061,47373
1443.0,84,47382
1444.0,3146,47478
1445.0,3148,47478
1451.0,853,47504
1449.0,1444,47504
1450.0,44,47504
1447.0,1482,47504
1446.0,766,47504
1448.0,955,47504
1452.0,27,47718
1453.0,340,47718
1454.0,2039,47744
1455.0,194,47820
1456.0,1500,47823
1458.0,3475,47828
1457.0,3494,47828
1461.0,524,47852
1460.0,973,47852
1459.0,595,47852
1462.0,1871,47923
1463.0,402,47923
1464.0,2403,47931
1465.0,293,47933
1466.0,2482,47941
1467.0,320,48022
1468.0,3029,48055
1470.0,1434,48065
1469.0,325,48065
1471.0,1993,48070
1472.0,66,48119
1473.0,2961,48193
1474.0,3206,48193
1475.0,2426,48193
1476.0,2784,48193
1479.0,2257,48310
1478.0,1671,48310
1477.0,2178,48310
1480.0,775,48346
1481.0,495,48346
1482.0,3024,48359
1483.0,2572,48370
1484.0,2258,48370
1486.0,2146,48390
1487.0,1942,48390
1485.0,2216,48390
1488.0,2394,48395
1489.0,3173,48395
1490.0,16,48398
1491.0,654,48399
1492.0,89,48497
1493.0,470,48530
1494.0,183,48584
1495.0,2111,48599
1497.0,167,48693
1496.0,248,48693
1498.0,762,48721
1499.0,2179,48886
1500.0,2165,48905
1501.0,952,48905
1502.0,1972,48905
1503.0,3187,49033
1504.0,2185,49061
1505.0,2274,49061
1506.0,2686,49079
1507.0,162,49183
1508.0,2573,49262
1509.0,865,49273
1510.0,912,49291
1511.0,346,49291
1512.0,2487,49291
1513.0,2428,49352
1514.0,2634,49352
1515.0,2642,49352
1516.0,2616,49416
1517.0,2473,49418
1518.0,917,49481
1519.0,1868,49481
1520.0,349,49481
1521.0,3112,49520
1522.0,3547,49640
1523.0,1983,49681
1525.0,925,49743
1526.0,579,49743
1524.0,360,49743
1527.0,373,49777
1528.0,2909,49851
1529.0,2982,49851
1530.0,1014,49851
1531.0,3192,49930
1534.0,2870,49965
1532.0,3088,49965
1533.0,2972,49965
1536.0,2514,49981
1535.0,840,49981
1537.0,1670,50158
1538.0,2127,50158
1539.0,698,50196
1540.0,3311,50331
1541.0,3365,50451
1542.0,3290,50451
1543.0,3314,50451
1544.0,3379,50451
1545.0,3331,50451
1546.0,3318,50451
1547.0,869,50544
1552.0,3546,50557
1551.0,3588,50557
1553.0,817,50557
1549.0,3496,50557
1548.0,724,50557
1550.0,795,50557
1554.0,2419,50607
1555.0,3578,50644
1556.0,3581,50644
1559.0,3191,50677
1560.0,2118,50677
1557.0,2290,50677
1558.0,2797,50677
1561.0,3485,50806
1562.0,2235,50828
1563.0,1022,51058
1564.0,2342,51069
1565.0,886,51069
1566.0,259,51069
1567.0,3501,51114
1568.0,3524,51114
1569.0,788,51192
1570.0,330,51207
1571.0,3226,51249
1572.0,2034,51284
1573.0,2334,51284
1574.0,277,51284
1575.0,3395,51306
1576.0,3006,51306
1577.0,1089,51364
1578.0,415,51371
1579.0,2367,51371
1580.0,712,51371
1581.0,2425,51371
1582.0,333,51445
1583.0,956,51445
1584.0,922,51484
1585.0,3349,51539
1588.0,910,51575
1589.0,605,51575
1586.0,2292,51575
1587.0,2903,51575
1590.0,3420,51578
1591.0,3243,51675
1592.0,2250,51683
1593.0,2129,51683
1594.0,1443,51683
1599.0,405,51692
1598.0,1874,51692
1597.0,2687,51692
1595.0,1840,51692
1596.0,2368,51692
1600.0,2601,51694
1601.0,2940,51694
1602.0,181,51708
1605.0,1023,51781
1603.0,2277,51781
1604.0,1414,51781
1606.0,2904,51788
1607.0,2370,51813
1608.0,801,51857
1609.0,1416,51857
1610.0,681,51857
1611.0,408,51857
1612.0,329,51857
1618.0,401,51969
1617.0,2651,51969
1616.0,600,51969
1614.0,2477,51969
1613.0,49,51969
1615.0,2307,51969
1619.0,284,52073
1620.0,1156,52116
1627.0,3361,52119
1629.0,3446,52119
1628.0,3199,52119
1626.0,3207,52119
1625.0,3329,52119
1624.0,3359,52119
1623.0,3292,52119
1622.0,3190,52119
1621.0,3354,52119
1630.0,2803,52264
1631.0,541,52273
1632.0,2056,52273
1636.0,2168,52320
1635.0,2222,52320
1634.0,2107,52320
1633.0,2237,52320
1637.0,1642,52428
1638.0,468,52430
1639.0,79,52430
1640.0,233,52516
1641.0,457,52532
1642.0,1011,52532
1646.0,1964,52650
1645.0,1252,52650
1644.0,40,52650
1643.0,937,52650
1647.0,1947,52652
1648.0,370,52670
1649.0,1743,52670
1650.0,990,52670
1651.0,229,52670
1652.0,516,52670
1653.0,1484,52672
1654.0,1937,52845
1655.0,2243,52845
1656.0,2130,52845
1657.0,2768,52934
1658.0,2513,52934
1659.0,2081,52939
1660.0,3085,52939
1661.0,728,52943
1663.0,3344,52962
1662.0,3459,52962
1664.0,3514,52998
1665.0,3487,52998
1666.0,3495,52998
1667.0,901,53013
1668.0,3510,53018
1669.0,3568,53018
1670.0,2114,53024
1671.0,196,53024
1672.0,981,53024
1673.0,1139,53044
1674.0,2874,53047
1675.0,1167,53052
1676.0,1155,53052
1677.0,2422,53166
1678.0,2894,53219
1679.0,2559,53234
1681.0,950,53363
1680.0,684,53363
1682.0,972,53426
1683.0,1093,53426
1684.0,407,53494
1685.0,1946,53494
1686.0,710,53494
1687.0,676,53494
1691.0,2126,53518
1690.0,2135,53518
1688.0,2210,53518
1689.0,1759,53518
1692.0,1107,53713
1693.0,500,53713
1694.0,3371,53775
1695.0,3258,53775
1696.0,3204,53775
